epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,399.948,1.91095,3.78692,1.85872,0.22711,0.22515,0.14281,0.05338,1.27827,1.76379,1.37314,0.000666423,0.000666423,0.000666423
2,787.491,1.933,2.52118,1.88096,0.31583,0.29181,0.2329,0.0959,1.12869,1.69587,1.17356,0.00120111,0.00120111,0.00120111
3,1168.55,1.77893,2.33995,1.7328,0.26248,0.30175,0.18845,0.07628,1.10491,1.70512,1.10091,0.0016038,0.0016038,0.0016038
4,1547.89,1.67342,2.10698,1.60776,0.40632,0.37778,0.3435,0.15522,1.03278,1.40289,1.02338,0.001406,0.001406,0.001406
5,1929.81,1.61505,1.95739,1.56228,0.47522,0.4152,0.39899,0.19113,0.98523,1.52577,0.99219,0.001208,0.001208,0.001208
6,2309.44,1.53522,1.81544,1.49712,0.48503,0.42339,0.42018,0.21037,0.93616,1.28143,0.93887,0.00101,0.00101,0.00101
7,2687.42,1.47969,1.71247,1.43444,0.5284,0.44503,0.46655,0.23657,0.9241,1.18356,0.9233,0.000812,0.000812,0.000812
8,3067.06,1.42524,1.61389,1.39715,0.53953,0.47778,0.48138,0.2541,0.90886,1.05349,0.9131,0.000614,0.000614,0.000614
9,3447.18,1.37868,1.53625,1.37008,0.5815,0.47485,0.49421,0.2638,0.88152,1.07857,0.89285,0.000416,0.000416,0.000416
10,3842.3,1.3424,1.45783,1.32503,0.59769,0.49298,0.52174,0.2839,0.86311,1.0173,0.88,0.000218,0.000218,0.000218
